# Clauses,# Literals,Time (ms)
512,1,0.309999994
512,2,0.456499995
512,4,0.248500003
512,8,0.452999995
512,16,0.422499998
512,32,0.28499999
512,64,0.396499998
512,128,0.645999989
512,256,1.132999998
512,512,2.722500003
512,1024,4.670000004
512,2048,8.690499997
512,4096,17.64549999
512,8192,34.4705
512,16384,68.37399999
512,32768,169.389
512,65536,371.982
