# Clauses,# Literals,Time (ms),Input size
4,8192,2.877499996,134385664
8,8192,2.8055,134584729.6
16,8192,3.472500009,134895206.4
32,8192,3.889999999,135702118.4
64,8192,6.513499992,136885043.2
128,8192,11.44299998,139853824
256,8192,19.382,145668505.6
512,8192,35.12300001,157388800
1024,8192,66.79250001,180609024
2048,8192,131.948,226949529.6
4096,8192,263.3615,318016716.8
8192,8192,539.459,502276096
